state,donald,hillary,johnson,stein,mcmullin,total,winner,donald_pct,hillary_pct,johnson_pct,stein_pct,mcmullin_pct
KY,1202942,628834,53749,13913,22780,1922218,donald,0.625809351488749,0.327139793717466,0.0279619689338046,0.00723799277709396,0.0118508930828865
LA,1178004,779535,37950,14018,8546,2018053,donald,0.583732934665244,0.386280736928118,0.0188052543714164,0.0069462992300004,0.00423477480522068
MA,1083069,1964768,136784,46910,,3231531,hillary,0.335156617714637,0.607999118683992,0.042327924442006,0.0145163391593644,0
MD,873646,1497951,71107,31839,,2474543,hillary,0.353053472903886,0.605344501994914,0.0287354069013955,0.012866618199805,0
ME,334838,354873,37764,14075,,741550,hillary,0.451537994740746,0.478555727867305,0.0509257636032634,0.0189805137886859,0
MI,2279210,2267373,173021,50686,,4770290,donald,0.477792754738182,0.475311354236325,0.0362705412039939,0.0106253498214993,0
MN,1322891,1366676,112944,36957,53080,2892548,hillary,0.457344528076976,0.472481701254396,0.0390465430478595,0.0127766246229967,0.0183506029977722
MO,1585753,1054889,96404,25086,,2762132,donald,0.574104713315656,0.381911146896673,0.0349020249575328,0.00908211483013846,0
MS,678457,462001,13789,3580,,1157827,donald,0.585974415866965,0.399024206552447,0.0119093785168251,0.00309199906376341,0
MT,274120,174521,27264,7669,,483574,donald,0.566862569120755,0.36089822860617,0.0563802024095588,0.0158589998635162,0
NC,2339603,2162074,127794,,,4629471,donald,0.505371564051271,0.46702398610986,0.0276044498388693,0,0
ND,216133,93526,21351,3769,,334779,donald,0.645599036976632,0.279366387975351,0.0637764017456292,0.0112581733023875,0
NE,485819,273858,37615,8346,,805638,donald,0.603023938791368,0.339926865415981,0.0466897043088831,0.0103594914837681,0
NH,345598,348126,30530,6374,,730628,hillary,0.473014995319095,0.476475032437848,0.0417859704254422,0.00872400181761444,0
NJ,1535513,2021756,68695,35949,,3661913,hillary,0.419319901920117,0.55210377745184,0.0187593206064699,0.00981700002157342,0
NM,315875,380724,73669,9729,5714,785711,hillary,0.402024408465708,0.484559844522986,0.0937609375457388,0.0123824154173736,0.00727239404819329
NV,511319,537753,37299,,,1086371,hillary,0.470667018909746,0.494999406280175,0.0343335748100787,0,0
NY,2640570,4143874,161836,99895,,7046175,hillary,0.374752259204462,0.588102623054352,0.0229679223124603,0.0141771954287255,0
OH,2771984,2317001,168599,44310,,5301894,donald,0.522829011670169,0.43701382939757,0.0317997681583223,0.00835739077393852,0
OK,947934,419788,83334,,,1451056,donald,0.65327182410603,0.289298276565481,0.057429899328489,0,0
OR,742506,934631,86306,45132,,1808575,hillary,0.410547530514355,0.516777573504002,0.0477204428901207,0.0249544530915223,0
PA,2912941,2844705,142653,48912,,5949211,donald,0.48963484401545,0.478165087773824,0.0239784737841707,0.00822159442655505,0
RI,179421,249902,14643,6155,,450121,hillary,0.398606152567865,0.555188493760567,0.0325312527076053,0.013674100963963,0
SC,1143611,849469,48715,12917,20795,2075507,donald,0.551003200663741,0.409282647565149,0.0234713735005471,0.00622353959779466,0.0100192386727677
SD,227701,117442,20845,,,365988,donald,0.622154278282348,0.320890302414287,0.0569554193033651,0,0
TN,1517402,867110,70084,15919,,2470515,donald,0.614204730592609,0.350983499391827,0.0283681742470699,0.00644359576849361,0
TX,4681590,3867816,282524,71307,,8903237,donald,0.525830099771577,0.434428062512545,0.0317327282200844,0.0080091094957935,0
UT,397004,237241,27735,6072,175301,843353,donald,0.470744753383221,0.281306878614293,0.0328865848582978,0.00719983209877714,0.20786195104541
VA,1731156,1916845,116600,27272,52914,3844787,hillary,0.450260573602647,0.498556877142999,0.0303267775301987,0.00709324079591405,0.0137625309282413
VT,95053,178179,10047,6748,,290027,hilary,0.327738451937233,0.614353146431194,0.0346416023335758,0.0232667992979964,0
WA,1043648,1523720,131779,46016,,2745163,hillary,0.380177060524275,0.55505629356071,0.0480040711608017,0.0167625747542131,0
WI,1409467,1382210,106442,30980,,2929099,donald,0.481194729164156,0.471889137239813,0.0363395023520885,0.0105766312439422,0
WV,486198,187457,22798,8000,,704453,donald,0.690178053042573,0.26610291957022,0.0323626984341042,0.0113563289531026,0
WY,174248,55949,13285,2512,,245994,donald,0.708342479897884,0.227440506679025,0.0540053822450954,0.0102116311779962,0
