fips,donald,hillary,johnson,stein,mcmullin,state,total_votes,donald_pct,hillary_pct,johnson_pct,stein_pct,mcmullin_pct,winner
56045,2898,294,103,9,,WY,3304,0.877118644067797,0.0889830508474576,0.0311743341404358,0.00272397094430993,0,donald
56043,2911,532,194,37,,WY,3674,0.792324442025041,0.144801306477953,0.0528034839412085,0.0100707675557975,0,donald
56041,6154,1202,472,79,,WY,7907,0.778297710889086,0.152017199949412,0.059693942076641,0.00999114708486152,0,donald
56039,3920,7313,701,172,,WY,12106,0.323806377003139,0.60408062117958,0.0579051709895919,0.0142078308276887,0,hillary
56037,12153,3233,928,152,,WY,16466,0.738066318474432,0.196343981537714,0.0563585570266003,0.00923114296125349,0,donald
56035,3409,644,169,28,,WY,4250,0.802117647058823,0.151529411764706,0.0397647058823529,0.00658823529411765,0,donald
56033,10266,2926,729,158,,WY,14079,0.729171105902408,0.207827260458839,0.0517792456850629,0.0112223879536899,0,donald
56031,3437,719,180,36,,WY,4372,0.786139066788655,0.164455626715462,0.0411710887465691,0.00823421774931381,0,donald
56029,11115,2535,625,151,,WY,14426,0.770483848606682,0.175724386524331,0.0433245528906142,0.0104672119783724,0,donald
56027,1116,115,49,7,,WY,1287,0.867132867132867,0.0893550893550894,0.0380730380730381,0.00543900543900544,0,donald
56025,23523,6573,1787,310,,WY,32193,0.730686795266052,0.204174820613177,0.0555089615754978,0.00962942254527382,0,donald
56023,6779,1105,331,46,,WY,8261,0.820602832586854,0.133761045878223,0.040067788403341,0.00556833313158213,0,donald
56021,24844,11572,2656,434,,WY,39506,0.628866501290943,0.2929175315142,0.0672302941325368,0.0109856730623196,0,donald
56019,3477,638,174,33,,WY,4322,0.804488662656178,0.147616844053679,0.040259139287367,0.00763535400277649,0,donald
56017,1939,400,136,35,,WY,2510,0.772509960159363,0.159362549800797,0.0541832669322709,0.0139442231075697,0,donald
56015,4418,924,234,45,,WY,5621,0.785981142145526,0.164383561643836,0.0416296032734389,0.00800569293719979,0,donald
56013,11167,4200,773,233,,WY,16373,0.682037500763452,0.256519880290723,0.0472118732058877,0.0142307457399377,0,donald
56011,3347,271,118,11,,WY,3747,0.893247931678676,0.0723245262876968,0.0314918601547905,0.0029356818788364,0,donald
56009,5520,668,251,42,,WY,6481,0.851720413516433,0.103070513809597,0.0387285912667798,0.00648048140719025,0,donald
56007,4409,1279,381,49,,WY,6118,0.72066034651847,0.209055246812684,0.0622752533507682,0.0080091533180778,0,donald
56005,15778,1324,653,66,,WY,17821,0.885359968576399,0.0742943718085405,0.0366421637394086,0.00370349587565232,0,donald
56003,4067,594,250,35,,WY,4946,0.822280630812778,0.120097048119693,0.0505458956732713,0.00707642539425799,0,donald
56001,7601,6888,1391,344,,WY,16224,0.468503451676529,0.424556213017751,0.0857371794871795,0.0212031558185404,0,donald
55141,21502,14232,1364,392,,WI,37490,0.573539610562817,0.379621232328621,0.036383035476127,0.0104561216324353,0,donald
55139,43447,37054,3820,1063,,WI,85384,0.508842406071395,0.433968893469502,0.0447390611824229,0.0124496392766795,0,donald
55137,7669,3802,314,93,,WI,11878,0.645647415389796,0.320087556827749,0.0264354268395353,0.00782960094291968,0,donald
55135,16013,8303,793,237,,WI,25346,0.631776217154581,0.327586206896552,0.0312869880849049,0.00935058786396276,0,donald
55133,145519,79199,8890,1674,,WI,235282,0.618487602111509,0.336613085573907,0.0377844458989638,0.0071148664156204,0,donald
55131,51729,20854,2745,548,,WI,75876,0.681757077336707,0.274843165164215,0.0361774474142021,0.00722231008487532,0,donald
55129,5404,3283,267,74,,WI,9028,0.598582188746123,0.363646433318564,0.029574656623837,0.00819672131147541,0,donald
55127,28848,18706,2116,612,,WI,50282,0.57372419553717,0.372021797064556,0.0420826538323853,0.0121713535658884,0,donald
55125,8169,4769,340,116,,WI,13394,0.609899955203823,0.356054949977602,0.0253845005226221,0.00866059429595341,0,donald
55123,6994,6351,447,296,,WI,14088,0.496450880181715,0.450809199318569,0.0317291311754685,0.0210107893242476,0,donald
55121,7370,5645,372,114,,WI,13501,0.545885489963706,0.418117176505444,0.0275535145544774,0.00844381897637212,0,donald
55119,6589,2398,279,67,,WI,9333,0.705989499624987,0.256937747776706,0.029893924783028,0.00717882781527912,0,donald
55117,32368,22636,2320,538,,WI,57862,0.559399951609001,0.3912066641319,0.040095399398569,0.00929798486053023,0,donald
55115,12742,6056,603,160,,WI,19561,0.651398190276571,0.309595623945606,0.0308266448545575,0.00817954092326568,0,donald
55113,4625,2846,188,78,,WI,7737,0.597776916117358,0.36784283313946,0.0242988238335272,0.0100814269096549,0,donald
55111,15871,16050,1208,472,,WI,33601,0.472337132823428,0.477664355227523,0.0359513109728877,0.0140472009761614,0,hillary
55109,26123,17496,2338,513,,WI,46470,0.562147622121799,0.376500968366688,0.0503120292661932,0.0110393802453196,0,donald
55107,4564,2171,189,56,,WI,6980,0.653868194842407,0.311031518624642,0.0270773638968481,0.00802292263610315,0,donald
55105,31483,39336,2859,885,,WI,74563,0.422233547469925,0.527553880611027,0.0383434142939528,0.0118691576250956,0,hillary
55103,4021,3577,219,107,,WI,7924,0.507445734477537,0.451413427561837,0.0276375567895003,0.0135032811711257,0,donald
55101,46620,42506,3246,834,,WI,93206,0.500182391691522,0.456043602343197,0.0348260841576723,0.00894792180760895,0,donald
55099,4562,2671,199,83,,WI,7515,0.60705256154358,0.35542248835662,0.026480372588157,0.0110445775116434,0,donald
55097,17310,18524,1490,583,,WI,37907,0.456643891629514,0.488669638852982,0.0393067243517028,0.0153797451658005,0,hillary
